aalib1 1.4p5-22
libgnomeprintu 2.6.2-1
libgnomesuppor 1.4.2-19
libgnomeui-0 2.6.1.1-4
libgnomeui-com 2.6.1.1-4
libgnomeui32 1.4.2-19
libgnomevfs2-0 2.6.2-2
libgnomevfs2-c 2.6.2-2
libgnorba27 1.4.2-19
libgnorbagtk0 1.4.2-19
libgnutls10 1.0.4-3
libgnutls11 1.0.16-7
libgnutls7 0.8.12-6
libgpg-error0 1.0-1
libgpgme6 0.3.16-2
libgphoto2-2 2.1.4-6
libgphoto2-por 2.1.4-6
libgpmg1 1.19.6-12.1
libgsf-1 1.10.1-1
libgsf-gnome-1 1.10.1-1
libgsm1 1.0.10-13
libgsmme1c102 1.10-5
libgssapi1-hei 0.6.2-6
libgstreamer-g 0.8.2-3
libgstreamer-p 0.8.2-3
libgstreamer0. 0.6.4-1.1
libgstreamer0. 0.8.5-1
libgtk-perl 0.7009-1.1
libgtk1.2 1.2.10-17
libgtk1.2-comm 1.2.10-17
libgtk2-perl 1.043-1
libgtk2.0-0 2.4.9-1
libgtk2.0-bin 2.4.9-1
libgtk2.0-comm 2.4.9-1
libgtkhtml2-0 2.4.1-1
libgtkhtml20 1.0.4-6.1
libgtkhtml3.0- 3.0.10-1
libgtksourcevi 1.0.1-4
libgtksourcevi 1.0.1-4
libgtkspell0 2.0.7-1
libgtop2-2 2.6.0-4
libgucharmap3 1.2.0-6
libguile-ltdl- 1.6.4-4
libguile9 1.4-26
libguppi16 0.40.3-10
libhal0 0.2.97-0.1
libhesiod0 3.0.2-15.1
libhtml-parser 3.36-1
libhtml-tablee 1.08-1
libhtml-tagset 3.03-2
libhtml-tree-p 3.18-1
libice6 4.3.0.dfsg.1-4
libid3-3.8.3 3.8.3-4
libid3tag0 0.15.1b-3
libident 0.22-2.2
libidl0 0.8.3-1
libidn11 0.5.2-3
libidn9 0.1.14-2
libieee1284-3 0.2.8-2
libijs-0.34 0.34-1
libijs-0.35 0.35-1
libisc4 9.2.1-2.woody.
libisc7 9.2.3+9.2.4-rc
libiw27 26+27pre22-1
libjack0.80.0- 0.98.1-5
libjasper-1.70 1.701.0-2
libjpeg-mmx-pr 0.1.5-2
libjpeg62 6b-9
libkrb-1-kerbe 1.2.2-11
libkrb5-17-hei 0.6.2-6
libkrb53 1.3.4-4
liblame0 3.96-1
liblcms1 1.12-2.1
libldap2 2.1.30-3
liblinc1 1.0.3-4
liblircclient0 0.6.6-7
liblocale-gett 1.01-17
liblockfile1 1.06
liblrdf0 0.3.7-3
libltdl3 1.6-0+1.5a-2
liblwres1 9.2.3+9.2.4-rc
liblzo1 1.08-1.2
libmad0 0.15.1b-1
libmagic1 4.09-1
libmagick5.5.7 5.5.7.9-1.1
libmagick6 6.0.7.1-1
libmetacity0 2.8.1-4
libmikmod2 3.1.11-a-5
libmng1 1.0.5-1
libmpeg2-4 0.4.0b-2
libmultisync-p 0.82-2
libmultisync-p 0.82-2
libmultisync-p 0.82-2
libmultisync-p 0.82-2
libmultisync-p 0.82-2
libmultisync-p 0.82-2
libmultisync-p 0.82-2
libmyspell3 3.1-8
libmysqlclient 4.0.21-1
libnautilus2-2 2.6.3b-3
